"","date","hour","source","medium","sessions"
"1",2017-04-04,"14","(direct)","(none)",2
"2",2017-04-04,"14","lm.facebook.com","referral",1
"3",2017-04-04,"15","(direct)","(none)",4
"4",2017-04-04,"16","(direct)","(none)",4
"5",2017-04-04,"17","(direct)","(none)",3
"6",2017-04-04,"17","t.co","referral",1
"7",2017-04-04,"18","(direct)","(none)",2
"8",2017-04-04,"20","(direct)","(none)",1
"9",2017-04-04,"20","t.co","referral",1
"10",2017-04-04,"21","(direct)","(none)",1
"11",2017-04-04,"21","t.co","referral",0
"12",2017-04-04,"22","google","organic",1
"13",2017-04-05,"07","google","organic",1
"14",2017-04-05,"08","t.co","referral",2
"15",2017-04-05,"09","(direct)","(none)",1
"16",2017-04-05,"11","(direct)","(none)",1
"17",2017-04-05,"17","(direct)","(none)",1
"18",2017-04-05,"18","t.co","referral",1
"19",2017-04-05,"19","(direct)","(none)",3
"20",2017-04-05,"20","(direct)","(none)",0
"21",2017-04-05,"20","t.co","referral",1
"22",2017-04-05,"21","(direct)","(none)",3
"23",2017-04-05,"22","(direct)","(none)",0
"24",2017-04-06,"06","(direct)","(none)",1
"25",2017-04-06,"07","t.co","referral",1
"26",2017-04-06,"17","(direct)","(none)",1
"27",2017-04-06,"19","(direct)","(none)",1
"28",2017-04-06,"22","(direct)","(none)",1
"29",2017-04-07,"18","(direct)","(none)",1
"30",2017-04-07,"21","(direct)","(none)",1
"31",2017-04-08,"10","(direct)","(none)",1
"32",2017-04-08,"11","(direct)","(none)",1
"33",2017-04-08,"15","(direct)","(none)",1
"34",2017-04-08,"16","(direct)","(none)",1
"35",2017-04-09,"14","free-fb-traffic.com","referral",1
"36",2017-04-09,"23","free-fb-traffic.com","referral",1
"37",2017-04-10,"06","free-fb-traffic.com","referral",1
"38",2017-04-10,"08","free-fb-traffic.com","referral",1
"39",2017-04-10,"13","free-fb-traffic.com","referral",1
"40",2017-04-11,"22","(direct)","(none)",4
"41",2017-04-12,"02","linkedin.com","referral",1
