"","browser","browserVersion","screenResolution","browserSize","country","hits"
"1","Chrome","43.0.2357.130","1600x1200","1600x1100","Belgium",2
"2","Chrome","43.0.2357.134","1366x768","1370x670","Belgium",15
"3","Chrome","43.0.2357.134","1366x768","670x610","Belgium",1
"4","Chrome","43.0.2357.134","1600x1200","1600x1140","Belgium",9
"5","Chrome","43.0.2357.134","1600x900","1030x730","Belgium",2
"6","Chrome","43.0.2357.134","1600x900","1600x840","Belgium",9
"7","Chrome","43.0.2357.134","1920x1080","1920x980","Belgium",1
"8","Chrome","43.0.2357.134","1920x1080","670x620","Belgium",1
"9","Chrome","43.0.2357.134","1920x1080","940x930","Belgium",1
"10","Chrome","44.0.2403.107","1586x800","1040x630","Netherlands",1
"11","Chrome","44.0.2403.107","1586x807","1590x690","Netherlands",1
"12","Chrome","44.0.2403.107","1600x1200","1030x1010","Belgium",2
"13","Chrome","44.0.2403.125","1366x768","1370x640","Belgium",1
"14","Chrome","44.0.2403.125","1440x900","1440x820","Belgium",3
"15","Chrome","44.0.2403.155","1280x720","1280x620","Belgium",1
"16","Chrome","44.0.2403.155","1366x768","1020x660","Belgium",2
"17","Chrome","44.0.2403.155","1366x768","1030x610","Belgium",4
"18","Chrome","44.0.2403.155","1366x768","1350x640","Belgium",9
"19","Chrome","44.0.2403.155","1366x768","1370x640","Belgium",26
"20","Chrome","44.0.2403.155","1366x768","1370x640","United States",5
"21","Chrome","44.0.2403.155","1366x768","1370x670","Belgium",10
"22","Chrome","44.0.2403.155","1366x768","1370x670","United States",5
"23","Chrome","44.0.2403.155","1366x768","990x570","United States",1
"24","Chrome","44.0.2403.155","1440x900","1440x750","Belgium",1
"25","Chrome","44.0.2403.155","1440x900","1440x760","Belgium",2
"26","Chrome","44.0.2403.155","1440x900","1440x780","Belgium",11
"27","Chrome","44.0.2403.155","1440x900","1440x780","United States",1
"28","Chrome","44.0.2403.155","1440x900","1440x790","Belgium",1
"29","Chrome","44.0.2403.155","1440x900","1440x800","Belgium",55
"30","Chrome","44.0.2403.155","1440x900","660x730","Belgium",2
"31","Chrome","44.0.2403.155","1600x1200","1030x1010","Belgium",4
"32","Chrome","44.0.2403.155","1600x1200","1600x1060","Belgium",2
"33","Chrome","44.0.2403.155","1600x1200","1600x1080","Belgium",2
"34","Chrome","44.0.2403.155","1600x1200","1600x1100","Belgium",10
"35","Chrome","44.0.2403.155","2560x1080","1280x630","Belgium",1
"36","Chrome","44.0.2403.155","2560x1080","1280x640","Belgium",3
"37","Chrome","44.0.2403.155","2560x1080","1350x640","Belgium",18
"38","Chrome","44.0.2403.155","2560x1080","1350x790","Belgium",3
"39","Chrome","44.0.2403.155","2560x1080","1350x820","Belgium",1
"40","Chrome","44.0.2403.155","2560x1080","1350x950","Belgium",1
"41","Chrome","44.0.2403.155","2560x1080","1430x950","Belgium",1
"42","Chrome","44.0.2403.155","2560x1080","2560x980","Belgium",1
"43","Chrome","45.0.2454.93","1600x1200","1600x1140","Belgium",3
"44","Chrome","46.0.2490.80","1366x768","1370x670","Belgium",1
"45","Chrome","46.0.2490.80","1440x900","1440x810","Belgium",1
"46","Chrome","46.0.2490.80","1440x900","1440x820","Belgium",1
"47","Chrome","46.0.2490.86","1600x1200","1600x1060","Belgium",1
"48","Chrome","46.0.2490.86","1600x1200","1600x1100","Belgium",1
"49","Chrome","47.0.2526.111","1366x768","1370x670","Belgium",1
"50","Chrome","47.0.2526.111","1440x900","1440x780","Belgium",6
"51","Chrome","48.0.2564.109","1600x1200","1210x1030","Belgium",1
"52","Chrome","48.0.2564.109","1600x1200","1210x1050","Belgium",2
"53","Chrome","48.0.2564.109","1600x1200","1600x1140","Belgium",4
"54","Chrome","48.0.2564.116","1600x1200","1030x1030","Belgium",1
"55","Chrome","48.0.2564.116","1600x1200","1600x1100","Belgium",4
"56","Chrome","48.0.2564.97","1600x1200","1030x1010","Belgium",2
"57","Chrome","48.0.2564.97","1600x1200","1600x1080","Belgium",34
"58","Chrome","48.0.2564.97","1600x1200","1600x1120","Belgium",5
"59","Chrome","49.0.2623.110","1366x768","1370x630","Belgium",2
"60","Chrome","49.0.2623.110","1600x1200","1600x1100","Belgium",1
"61","Chrome","49.0.2623.112","1280x1024","1010x610","Italy",1
"62","Chrome","49.0.2623.112","1280x1024","1040x850","Italy",1
"63","Chrome","49.0.2623.112","1280x1024","1040x880","Italy",8
"64","Chrome","49.0.2623.112","1280x1024","1040x910","Italy",1
"65","Chrome","49.0.2623.112","1280x1024","1070x630","Italy",1
"66","Chrome","49.0.2623.112","1280x1024","1100x630","Italy",11
"67","Chrome","49.0.2623.112","1280x1024","1100x650","Italy",6
"68","Chrome","49.0.2623.112","1280x1024","1100x750","Italy",1
"69","Chrome","49.0.2623.112","1280x1024","1130x650","Italy",1
"70","Chrome","49.0.2623.112","1280x1024","1130x720","Italy",10
"71","Chrome","49.0.2623.112","1280x1024","1130x780","Italy",2
"72","Chrome","49.0.2623.112","1280x1024","1180x630","Italy",25
"73","Chrome","49.0.2623.112","1280x1024","1180x640","Italy",10
"74","Chrome","49.0.2623.112","1280x1024","1180x650","Italy",10
"75","Chrome","49.0.2623.112","1280x1024","1180x700","Italy",5
"76","Chrome","49.0.2623.112","1280x1024","1180x740","Italy",2
"77","Chrome","49.0.2623.112","1280x1024","1190x650","Italy",1
"78","Chrome","49.0.2623.112","1280x1024","1190x670","Italy",1
"79","Chrome","49.0.2623.112","1280x1024","1190x690","Italy",8
"80","Chrome","49.0.2623.112","1280x1024","1190x710","Italy",17
"81","Chrome","49.0.2623.112","1280x1024","1190x750","Italy",7
"82","Chrome","49.0.2623.112","1280x1024","1210x650","Italy",8
"83","Chrome","49.0.2623.112","1280x1024","1210x740","Italy",12
"84","Chrome","49.0.2623.112","1280x1024","1230x850","Italy",4
"85","Chrome","49.0.2623.112","1280x1024","1270x770","Italy",19
"86","Chrome","49.0.2623.112","1280x1024","1280x900","Italy",59
"87","Chrome","49.0.2623.112","1280x1024","1280x910","Italy",67
"88","Chrome","49.0.2623.112","1280x1024","1280x930","Italy",56
"89","Chrome","49.0.2623.87","1280x1024","1020x540","Italy",2
"90","Chrome","49.0.2623.87","1280x1024","1020x560","Italy",1
"91","Chrome","49.0.2623.87","1280x1024","1040x710","Italy",7
"92","Chrome","49.0.2623.87","1280x1024","1040x840","Italy",9
"93","Chrome","49.0.2623.87","1280x1024","1040x870","Italy",1
"94","Chrome","49.0.2623.87","1280x1024","1040x880","Italy",14
"95","Chrome","49.0.2623.87","1280x1024","1180x670","Italy",1
"96","Chrome","49.0.2623.87","1280x1024","1190x540","Italy",2
"97","Chrome","49.0.2623.87","1280x1024","1220x670","Italy",1
"98","Chrome","49.0.2623.87","1280x1024","1220x730","Italy",2
"99","Chrome","49.0.2623.87","1280x1024","1220x760","Italy",3
"100","Chrome","49.0.2623.87","1280x1024","1250x680","Italy",13
"101","Chrome","49.0.2623.87","1280x1024","1280x890","Italy",20
"102","Chrome","49.0.2623.87","1280x1024","1280x900","Italy",4
"103","Chrome","49.0.2623.87","1280x1024","1280x910","Italy",62
"104","Chrome","49.0.2623.87","1280x1024","1280x930","Italy",98
"105","Chrome","50.0.2661.102","1366x768","1370x670","Belgium",21
"106","Chrome","50.0.2661.75","1600x1200","1600x1100","Belgium",2
"107","Chrome","50.0.2661.75","1600x1200","1600x1140","Belgium",1
"108","Chrome","50.0.2661.87","1600x1200","1600x1040","Belgium",1
"109","Chrome","50.0.2661.87","1600x1200","1600x1080","Belgium",1
"110","Chrome","51.0.2704.103","1600x1200","1030x1010","Belgium",4
"111","Chrome","51.0.2704.103","1600x1200","1600x1060","Belgium",3
"112","Chrome","51.0.2704.106","1600x1200","1600x1080","Belgium",1
"113","Chrome","51.0.2704.106","1600x1200","1600x1100","Belgium",10
"114","Chrome","51.0.2704.79","1600x1200","1090x1050","Belgium",1
"115","Chrome","51.0.2704.84","1600x1200","1170x1030","Belgium",19
"116","Chrome","51.0.2704.84","1600x1200","1600x1080","Belgium",9
"117","Chrome","52.0.2743.116","1440x900","1440x780","Belgium",19
"118","Chrome","52.0.2743.116","1440x900","1440x800","Belgium",1
"119","Chrome","52.0.2743.82","1600x1200","1030x1000","Belgium",2
"120","Chrome","53.0.2785.116","1440x900","1440x810","Belgium",1
"121","Chrome","54.0.2840.59","1366x768","1370x640","Switzerland",16
"122","Chrome","54.0.2840.59","1366x768","1370x660","Switzerland",5
"123","Chrome","54.0.2840.59","1536x864","1540x730","Switzerland",5
"124","Chrome","54.0.2840.59","1680x1050","1010x530","Switzerland",1
"125","Chrome","54.0.2840.59","1680x1050","1060x720","Switzerland",1
"126","Chrome","54.0.2840.59","1680x1050","1680x870","Switzerland",2
"127","Chrome","54.0.2840.59","1680x1050","1680x880","Switzerland",30
"128","Chrome","54.0.2840.59","1680x1050","1680x910","Switzerland",1
"129","Chrome","54.0.2840.59","1680x1050","1680x920","Switzerland",96
"130","Chrome","54.0.2840.59","1680x1050","1680x940","Switzerland",14
"131","Chrome","54.0.2840.59","1680x1050","1680x950","Switzerland",1
"132","Chrome","54.0.2840.59","1920x1080","1920x900","Switzerland",2
"133","Chrome","54.0.2840.59","1920x1080","1920x910","Switzerland",1
"134","Chrome","54.0.2840.59","1920x1080","1920x940","Switzerland",1
"135","Chrome","54.0.2840.59","1920x1080","1920x950","Switzerland",30
"136","Chrome","54.0.2840.59","1920x1080","1920x970","Switzerland",1
"137","Chrome","54.0.2840.71","1366x768","1370x660","Belgium",17
"138","Chrome","54.0.2840.71","1440x900","1440x830","Belgium",4
"139","Chrome","54.0.2840.71","1600x1200","1600x1090","Belgium",3
"140","Chrome","54.0.2840.87","1440x900","1440x790","Belgium",3
"141","Chrome","54.0.2840.87","1600x1200","1030x1030","Belgium",3
"142","Chrome","54.0.2840.87","1600x1200","1600x1060","Belgium",9
"143","Chrome","54.0.2840.87","1600x1200","1600x1090","Belgium",21
"144","Chrome","54.0.2840.87","1600x1200","1600x1130","Belgium",9
"145","Chrome","54.0.2840.99","1024x768","1020x640","United Kingdom",1
"146","Chrome","54.0.2840.99","1366x768","1370x640","United Kingdom",5
"147","Chrome","54.0.2840.99","1366x768","1370x660","Belgium",31
"148","Chrome","54.0.2840.99","1920x1080","1920x950","United Kingdom",26
"149","Chrome","54.0.2840.99","1920x1080","1920x950","United States",1
"150","Chrome","55.0.2883.75","1280x720","1280x650","Canada",1
"151","Chrome","55.0.2883.75","1280x800","1030x630","Canada",1
"152","Chrome","55.0.2883.75","1280x800","1040x610","Canada",2
"153","Chrome","55.0.2883.75","1280x800","1110x660","Canada",1
"154","Chrome","55.0.2883.75","1280x800","1280x620","Canada",1
"155","Chrome","55.0.2883.75","1280x800","1280x690","Canada",2
"156","Chrome","55.0.2883.75","1366x768","1370x660","Belgium",5
"157","Chrome","55.0.2883.75","1366x768","1370x660","Canada",1
"158","Chrome","55.0.2883.75","1440x900","1440x770","Canada",3
"159","Chrome","55.0.2883.75","1440x900","1440x790","Canada",1
"160","Chrome","55.0.2883.75","1440x900","1440x810","Canada",1
"161","Chrome","55.0.2883.75","1440x900","500x420","Canada",1
"162","Chrome","55.0.2883.75","1440x900","700x500","Canada",3
"163","Chrome","55.0.2883.75","1600x900","1040x710","Canada",8
"164","Chrome","55.0.2883.75","1600x900","1110x670","Canada",2
"165","Chrome","55.0.2883.75","1600x900","1130x730","Canada",8
"166","Chrome","55.0.2883.75","1600x900","1160x630","Canada",2
"167","Chrome","55.0.2883.75","1600x900","1160x680","Canada",5
"168","Chrome","55.0.2883.75","1600x900","1250x690","Canada",2
"169","Chrome","55.0.2883.75","1600x900","1250x730","Canada",1
"170","Chrome","55.0.2883.75","1600x900","1260x760","Canada",5
"171","Chrome","55.0.2883.75","1600x900","1340x680","Canada",1
"172","Chrome","55.0.2883.75","1600x900","1350x760","Canada",16
"173","Chrome","55.0.2883.75","1600x900","1410x730","Canada",1
"174","Chrome","55.0.2883.75","1600x900","1410x760","Canada",1
"175","Chrome","55.0.2883.75","1600x900","1440x710","Canada",1
