"","date","hour","sessions"
"1",2017-01-01,"00",0
"2",2017-01-01,"01",0
"3",2017-01-01,"02",0
"4",2017-01-01,"03",0
"5",2017-01-01,"04",0
"6",2017-01-01,"05",0
"7",2017-01-01,"06",0
"8",2017-01-01,"07",0
"9",2017-01-01,"08",0
"10",2017-01-01,"09",0
"11",2017-01-01,"10",0
"12",2017-01-01,"11",0
"13",2017-01-01,"12",0
"14",2017-01-01,"13",0
"15",2017-01-01,"14",0
"16",2017-01-01,"15",0
"17",2017-01-01,"16",0
"18",2017-01-01,"17",0
"19",2017-01-01,"18",0
"20",2017-01-01,"19",0
"21",2017-01-01,"20",0
"22",2017-01-01,"21",0
"23",2017-01-01,"22",0
"24",2017-01-01,"23",0
"25",2017-01-02,"00",0
"26",2017-01-02,"01",0
"27",2017-01-02,"02",0
"28",2017-01-02,"03",0
"29",2017-01-02,"04",0
"30",2017-01-02,"05",0
"31",2017-01-02,"06",0
"32",2017-01-02,"07",0
"33",2017-01-02,"08",0
"34",2017-01-02,"09",0
"35",2017-01-02,"10",0
"36",2017-01-02,"11",0
"37",2017-01-02,"12",0
"38",2017-01-02,"13",0
"39",2017-01-02,"14",0
"40",2017-01-02,"15",0
"41",2017-01-02,"16",0
"42",2017-01-02,"17",0
"43",2017-01-02,"18",0
"44",2017-01-02,"19",0
"45",2017-01-02,"20",0
"46",2017-01-02,"21",0
"47",2017-01-02,"22",0
"48",2017-01-02,"23",0
"49",2017-01-03,"00",0
"50",2017-01-03,"01",0
"51",2017-01-03,"02",0
"52",2017-01-03,"03",0
"53",2017-01-03,"04",0
"54",2017-01-03,"05",0
"55",2017-01-03,"06",0
"56",2017-01-03,"07",0
"57",2017-01-03,"08",0
"58",2017-01-03,"09",0
"59",2017-01-03,"10",0
"60",2017-01-03,"11",0
"61",2017-01-03,"12",0
"62",2017-01-03,"13",0
"63",2017-01-03,"14",0
"64",2017-01-03,"15",0
"65",2017-01-03,"16",0
"66",2017-01-03,"17",0
"67",2017-01-03,"18",0
"68",2017-01-03,"19",0
"69",2017-01-03,"20",0
"70",2017-01-03,"21",0
"71",2017-01-03,"22",0
"72",2017-01-03,"23",0
"73",2017-01-04,"00",0
"74",2017-01-04,"01",0
"75",2017-01-04,"02",0
"76",2017-01-04,"03",0
"77",2017-01-04,"04",0
"78",2017-01-04,"05",0
"79",2017-01-04,"06",0
"80",2017-01-04,"07",0
"81",2017-01-04,"08",0
"82",2017-01-04,"09",0
"83",2017-01-04,"10",0
"84",2017-01-04,"11",0
"85",2017-01-04,"12",0
"86",2017-01-04,"13",0
"87",2017-01-04,"14",0
"88",2017-01-04,"15",0
"89",2017-01-04,"16",0
"90",2017-01-04,"17",0
"91",2017-01-04,"18",0
"92",2017-01-04,"19",0
"93",2017-01-04,"20",0
"94",2017-01-04,"21",0
"95",2017-01-04,"22",0
"96",2017-01-04,"23",0
"97",2017-01-05,"00",0
"98",2017-01-05,"01",0
"99",2017-01-05,"02",0
"100",2017-01-05,"03",0
"101",2017-01-05,"04",0
"102",2017-01-05,"05",0
"103",2017-01-05,"06",0
"104",2017-01-05,"07",0
"105",2017-01-05,"08",0
"106",2017-01-05,"09",0
"107",2017-01-05,"10",0
"108",2017-01-05,"11",0
"109",2017-01-05,"12",0
"110",2017-01-05,"13",0
"111",2017-01-05,"14",0
"112",2017-01-05,"15",0
"113",2017-01-05,"16",0
"114",2017-01-05,"17",0
"115",2017-01-05,"18",0
"116",2017-01-05,"19",0
"117",2017-01-05,"20",0
"118",2017-01-05,"21",0
"119",2017-01-05,"22",0
"120",2017-01-05,"23",0
"121",2017-01-06,"00",0
"122",2017-01-06,"01",0
"123",2017-01-06,"02",0
"124",2017-01-06,"03",0
"125",2017-01-06,"04",0
"126",2017-01-06,"05",0
"127",2017-01-06,"06",0
"128",2017-01-06,"07",0
"129",2017-01-06,"08",0
"130",2017-01-06,"09",0
"131",2017-01-06,"10",0
"132",2017-01-06,"11",0
"133",2017-01-06,"12",0
"134",2017-01-06,"13",0
"135",2017-01-06,"14",0
"136",2017-01-06,"15",0
"137",2017-01-06,"16",0
"138",2017-01-06,"17",0
"139",2017-01-06,"18",0
"140",2017-01-06,"19",0
"141",2017-01-06,"20",0
"142",2017-01-06,"21",0
"143",2017-01-06,"22",0
"144",2017-01-06,"23",0
"145",2017-01-07,"00",0
"146",2017-01-07,"01",0
"147",2017-01-07,"02",0
"148",2017-01-07,"03",0
"149",2017-01-07,"04",0
"150",2017-01-07,"05",0
"151",2017-01-07,"06",0
"152",2017-01-07,"07",0
"153",2017-01-07,"08",0
"154",2017-01-07,"09",0
"155",2017-01-07,"10",0
"156",2017-01-07,"11",0
"157",2017-01-07,"12",0
"158",2017-01-07,"13",0
"159",2017-01-07,"14",0
"160",2017-01-07,"15",0
"161",2017-01-07,"16",0
"162",2017-01-07,"17",0
"163",2017-01-07,"18",0
"164",2017-01-07,"19",0
"165",2017-01-07,"20",0
"166",2017-01-07,"21",0
"167",2017-01-07,"22",0
"168",2017-01-07,"23",0
"169",2017-01-08,"00",0
"170",2017-01-08,"01",0
"171",2017-01-08,"02",0
"172",2017-01-08,"03",0
"173",2017-01-08,"04",0
"174",2017-01-08,"05",0
"175",2017-01-08,"06",0
"176",2017-01-08,"07",0
"177",2017-01-08,"08",0
"178",2017-01-08,"09",0
"179",2017-01-08,"10",0
"180",2017-01-08,"11",0
"181",2017-01-08,"12",0
"182",2017-01-08,"13",0
"183",2017-01-08,"14",0
"184",2017-01-08,"15",0
"185",2017-01-08,"16",0
"186",2017-01-08,"17",0
"187",2017-01-08,"18",0
"188",2017-01-08,"19",0
"189",2017-01-08,"20",0
"190",2017-01-08,"21",0
"191",2017-01-08,"22",0
"192",2017-01-08,"23",0
"193",2017-01-09,"00",0
"194",2017-01-09,"01",0
"195",2017-01-09,"02",0
"196",2017-01-09,"03",0
"197",2017-01-09,"04",0
"198",2017-01-09,"05",0
"199",2017-01-09,"06",0
"200",2017-01-09,"07",0
"201",2017-01-09,"08",0
"202",2017-01-09,"09",0
"203",2017-01-09,"10",0
"204",2017-01-09,"11",0
"205",2017-01-09,"12",0
"206",2017-01-09,"13",0
"207",2017-01-09,"14",0
"208",2017-01-09,"15",0
"209",2017-01-09,"16",0
"210",2017-01-09,"17",0
"211",2017-01-09,"18",0
"212",2017-01-09,"19",0
"213",2017-01-09,"20",0
"214",2017-01-09,"21",0
"215",2017-01-09,"22",0
"216",2017-01-09,"23",0
"217",2017-01-10,"00",0
"218",2017-01-10,"01",0
"219",2017-01-10,"02",0
"220",2017-01-10,"03",0
"221",2017-01-10,"04",0
"222",2017-01-10,"05",0
"223",2017-01-10,"06",0
"224",2017-01-10,"07",0
"225",2017-01-10,"08",0
"226",2017-01-10,"09",0
"227",2017-01-10,"10",0
"228",2017-01-10,"11",0
"229",2017-01-10,"12",0
"230",2017-01-10,"13",0
"231",2017-01-10,"14",0
"232",2017-01-10,"15",0
"233",2017-01-10,"16",0
"234",2017-01-10,"17",0
"235",2017-01-10,"18",0
"236",2017-01-10,"19",0
"237",2017-01-10,"20",0
"238",2017-01-10,"21",0
"239",2017-01-10,"22",0
"240",2017-01-10,"23",0
"241",2017-01-11,"00",0
"242",2017-01-11,"01",0
"243",2017-01-11,"02",0
"244",2017-01-11,"03",0
"245",2017-01-11,"04",0
"246",2017-01-11,"05",0
"247",2017-01-11,"06",0
"248",2017-01-11,"07",0
"249",2017-01-11,"08",0
"250",2017-01-11,"09",0
"251",2017-01-11,"10",0
"252",2017-01-11,"11",0
"253",2017-01-11,"12",0
"254",2017-01-11,"13",0
"255",2017-01-11,"14",0
"256",2017-01-11,"15",0
"257",2017-01-11,"16",0
"258",2017-01-11,"17",0
"259",2017-01-11,"18",0
"260",2017-01-11,"19",0
"261",2017-01-11,"20",0
"262",2017-01-11,"21",0
"263",2017-01-11,"22",0
"264",2017-01-11,"23",0
"265",2017-01-12,"00",0
"266",2017-01-12,"01",0
"267",2017-01-12,"02",0
"268",2017-01-12,"03",0
"269",2017-01-12,"04",0
"270",2017-01-12,"05",0
"271",2017-01-12,"06",0
"272",2017-01-12,"07",0
"273",2017-01-12,"08",0
"274",2017-01-12,"09",0
"275",2017-01-12,"10",0
"276",2017-01-12,"11",0
"277",2017-01-12,"12",0
"278",2017-01-12,"13",0
"279",2017-01-12,"14",0
"280",2017-01-12,"15",0
"281",2017-01-12,"16",0
"282",2017-01-12,"17",0
"283",2017-01-12,"18",0
"284",2017-01-12,"19",0
"285",2017-01-12,"20",0
"286",2017-01-12,"21",0
"287",2017-01-12,"22",0
"288",2017-01-12,"23",0
"289",2017-01-13,"00",0
"290",2017-01-13,"01",0
"291",2017-01-13,"02",0
"292",2017-01-13,"03",0
"293",2017-01-13,"04",0
"294",2017-01-13,"05",0
"295",2017-01-13,"06",0
"296",2017-01-13,"07",0
"297",2017-01-13,"08",0
"298",2017-01-13,"09",0
"299",2017-01-13,"10",0
"300",2017-01-13,"11",0
"301",2017-01-13,"12",0
"302",2017-01-13,"13",0
"303",2017-01-13,"14",0
"304",2017-01-13,"15",0
"305",2017-01-13,"16",0
"306",2017-01-13,"17",0
"307",2017-01-13,"18",0
"308",2017-01-13,"19",0
"309",2017-01-13,"20",0
"310",2017-01-13,"21",0
"311",2017-01-13,"22",0
"312",2017-01-13,"23",0
"313",2017-01-14,"00",0
"314",2017-01-14,"01",0
"315",2017-01-14,"02",0
"316",2017-01-14,"03",0
"317",2017-01-14,"04",0
"318",2017-01-14,"05",0
"319",2017-01-14,"06",0
"320",2017-01-14,"07",0
"321",2017-01-14,"08",0
"322",2017-01-14,"09",0
"323",2017-01-14,"10",0
"324",2017-01-14,"11",0
"325",2017-01-14,"12",0
"326",2017-01-14,"13",0
