"","category","environment","tenant","user","value"
"2017-12-12 04:03:42","SubjectCreate","dev","Planes","AutomatedTester",1
"2017-12-12 04:03:57","SubjectDelete","dev","Automobiles","AutomatedTester",1
"2017-12-12 04:04:07","SubjectCreate","dev","Planes","AutomatedTester",1
"2017-12-12 04:04:13","SubjectCreate","dev","Planes","AutomatedTester",1
"2017-12-12 04:04:28","SubjectDelete","dev","Automobiles","AutomatedTester",1
"2017-12-12 04:04:39","SubjectDelete","dev","Planes","AutomatedTester",1
"2017-12-12 04:04:56","SubjectCreate","dev","Trains","AutomatedTester",1
"2017-12-12 04:05:05","SubjectDelete","dev","Planes","AutomatedTester",1
"2017-12-12 04:05:15","SubjectCreate","dev","Planes","AutomatedTester",1
"2017-12-12 04:05:22","ElementCreate","dev","Planes","AutomatedTester",1
"2017-12-12 04:05:24","TemplateCreate","dev","Planes","AutomatedTester",1
"2017-12-12 04:05:38","ElementDelete","dev","Planes","AutomatedTester",1
"2017-12-12 04:05:48","TemplateDelete","dev","Planes","AutomatedTester",1
"2017-12-12 04:05:55","SubjectDelete","dev","Automobiles","AutomatedTester",1
"2017-12-12 04:06:17","SubjectCreate","dev","Planes","AutomatedTester",1
"2017-12-12 04:06:40","SubjectDelete","dev","Planes","AutomatedTester",1
"2017-12-12 04:06:50","SubjectCreate","dev","Planes","AutomatedTester",1
"2017-12-12 04:07:04","SubjectDelete","dev","Planes","AutomatedTester",1
"2017-12-12 04:07:17","FilenameCreate","dev","Planes","AutomatedTester",1
"2017-12-12 04:07:31","FilenameDelete","dev","Planes","AutomatedTester",1
"2017-12-12 04:07:41","FilenameCreate","dev","Automobiles","AutomatedTester",1
"2017-12-12 04:07:47","FilenameCreate","dev","Planes","AutomatedTester",1
"2017-12-12 04:07:59","FilenameDelete","dev","Trains","AutomatedTester",1
"2017-12-12 04:08:09","FilenameDelete","dev","Planes","AutomatedTester",1
"2017-12-12 04:08:25","FilenameCreate","dev","Planes","AutomatedTester",1
"2017-12-12 04:08:34","FilenameDelete","dev","Planes","AutomatedTester",1
"2017-12-12 04:08:44","FilenameCreate","dev","Trains","AutomatedTester",1
"2017-12-12 04:08:51","ElementCreate","dev","Planes","AutomatedTester",1
"2017-12-12 04:08:52","TemplateCreate","dev","Planes","AutomatedTester",1
"2017-12-12 04:09:07","ElementDelete","dev","Planes","AutomatedTester",1
"2017-12-12 04:09:16","TemplateDelete","dev","Planes","AutomatedTester",1
"2017-12-12 04:09:23","FilenameDelete","dev","Planes","AutomatedTester",1
"2017-12-12 04:09:43","FilenameCreate","dev","Planes","AutomatedTester",1
"2017-12-12 04:10:06","FilenameDelete","dev","Planes","AutomatedTester",1
"2017-12-12 04:10:17","FilenameCreate","dev","Trains","AutomatedTester",1
"2017-12-12 04:10:31","FilenameDelete","dev","Planes","AutomatedTester",1
"2017-12-12 04:10:41","FilenameCreate","dev","Automobiles","AutomatedTester",1
"2017-12-12 04:10:47","ElementCreate","dev","Planes","AutomatedTester",1
