"","sum"
"1",0
"2",0
"3",0
"4",0
"5",1
"6",1
"7",1
"8",0
"9",0
"10",1
"11",0
"12",3
"13",1
"14",0
"15",4
"16",0
"17",0
"18",2
"19",2
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",1
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",1
"60",1
"61",1
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",1
"78",1
"79",1
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",1
"126",1
"127",1
"128",0
"129",0
"130",0
"131",0
"132",2
"133",0
"134",0
"135",0
"136",0
"137",15
"138",1
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",1
"148",2
"149",0
"150",0
"151",0
"152",0
"153",0
"154",8
"155",2
"156",10
"157",31
"158",4
"159",37
"160",151
"161",40
"162",10
"163",0
"164",1
"165",2
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",1
"174",1
"175",1
"176",0
"177",0
"178",2
"179",4
"180",51
"181",47
"182",19
"183",1
"184",4
"185",7
"186",3
